STATES ,GRADES
ALABAMA,A
MISSOURI,A
TENNESSEE,A
UTAH  ,A
VIRGINIA,A
ARIZONA,B
ARKANSAS,B
FLORIDA,B
GEORGIA,B
IDAHO,B
ILLINOIS,B
MAINE,B
MARYLAND,B
MICHIGAN ,B
MINNESOTA,B
NEW HAMPSHIRE,B
NEW JERSEY,B
NEW YORK,B
NORTH CAROLINA,B
NORTH DAKOTA,B
OHIO ,B
SOUTH CAROLINA ,B
TEXAS,B
WEST VIRGINIA ,B
COLORADO,C
INDIANA,C
IOWA ,C
KANSAS,C
KENTUCKY,C
MISSISSIPPI,C
NEBRASKA ,C
NEVADA ,C
NEW MEXICO ,C
OKLAHOMA ,C
OREGON ,C
WASHINGTON ,C
LOUISIANA,D
MONTANA,D
VERMONT ,D
WYOMING,D
ALASKA,F
CALIFORNIA,F
CONNECTICUT,F
DELAWARE,F
DISTRICT OF COLUMBIA ,F
HAWAII,F
MASSACHUSETTS,F
PENNSYLVANIA,F
RHODE ISLAND,F
SOUTH DAKOTA ,F
WISCONSIN ,F
