state,Population
AK,549520
AL,4124980
AR,2385160
AZ,5378240
CA,31228960
CO,4443240
CT,3049080
DC,551420
DE,799020
FL,17998500
GA,8419700
HI,1103340
IA,2575740
ID,1346860
IL,10526580
IN,5454880
KS,2321580
KY,3675160
LA,3826080
MA,5675700
MD,5062440
ME,1186380
MI,8452040
MN,4523120
MO,5074060
MS,2426060
MT,867560
NC,8289440
ND,599320
NE,1504000
NH,1181920
NJ,7584360
NM,1668820
NV,2423040
NY,15685260
OH,9981320
OK,3179540
OR,3473820
PA,10973260
RI,892760
SC,4188580
SD,684560
TN,5583100
TX,21449840
UT,2259040
VA,7061280
VT,536380
WA,6157000
WI,4783500
WV,1580620
WY,464120
