name,state_id,state_population,score,income,grade,abbr,Vantage_Score,Total_Debt,Stu_Del,Stu_Debt,Mor_Del,Mor_Debt,Debt_Income,CC_Del,CC_Debt,Auto_Del,Auto_Debt,latitude,longitude
Alabama,1,4124980,6,40802,A,AL,654,36060,13.39,4610,1.144,21000,88,7.681,2370,5.75,4780,32.806671,-86.79113
Alaska,2,549520,6.333,57180,F,AK,668,57850,10.326,3740,0.756,41580,101,5.826,4270,2.414,5010,61.370716,-152.404419
Arizona,3,5378240,5.333,42085,B,AZ,669,51300,12.509,4890,0.882,35680,122,9.538,3140,4.57,4890,33.729759,-111.431221
Arkansas,4,2385160,6.333,41063,B,AR,657,32220,14.237,4170,1.199,18200,78,8.657,2300,4.392,5240,34.969704,-92.373123
California,5,31228960,6.333,60004,F,CA,680,70100,10.046,4330,0.722,54640,117,8.37,3420,3.626,4380,36.116203,-119.681564
Colorado,6,4443240,6.333,54561,C,CO,688,68450,11.098,5840,0.462,50900,125,6.304,3530,2.98,4630,39.059811,-105.311104
Connecticut,7,3049080,6.667,72110,F,CT,690,58860,9.459,5660,1.996,41790,82,6.836,3730,2.615,3600,41.597782,-72.755371
Delaware,8,799020,4,49925,F,DE,672,53390,9.627,5590,2.208,36840,107,8.307,3260,4.348,4750,39.318523,-75.507141
District of Columbia,9,551420,5.333,79792,F,DC,670,84380,8.796,12380,1.175,62080,106,5.859,3920,7.231,3010,38.897438,-77.026817
Florida,10,17998500,6.333,47701,B,FL,668,43400,9.048,4690,1.325,27120,91,9.407,3290,4.424,4960,27.766279,-81.686783
Georgia,11,8419700,5,44214,B,GA,654,46730,12.847,6750,1.053,28620,106,7.645,3130,5.518,5260,33.040619,-83.643074
Hawaii,12,1103340,5.333,52910,F,HI,693,71170,9.935,3530,1.3,54680,135,6.2,3860,3.342,3650,21.094318,-157.498337
Idaho,13,1346860,7,41778,B,ID,681,46270,11.984,4720,0.658,31070,111,6.553,2740,2.222,4450,44.240459,-114.478828
Illinois,14,10526580,6.667,54271,B,IL,683,45670,9.588,5590,1.679,30260,84,6.298,3130,3.82,4090,40.349457,-88.986137
Indiana,15,5454880,6.667,45196,C,IN,667,37210,13.747,5060,1.205,22810,82,6.464,2500,4.48,4110,39.849426,-86.258278
Iowa,16,2575740,8.667,47093,C,IA,695,38920,11.385,5150,0.845,24580,83,6.081,2450,2.317,4370,42.011539,-93.210526
Kansas,17,2321580,8.333,48600,C,KS,680,37320,13.089,5300,0.872,23330,77,5.891,2780,3.049,4000,38.5266,-96.726486
Kentucky,18,3675160,6.333,40600,C,KY,663,33660,15.279,4640,1.276,20010,83,7.089,2280,4.373,3780,37.66814,-84.670067
Louisiana,19,3826080,5,43786,D,LA,650,36720,13.128,5020,1.639,20820,84,7.784,2440,5.857,5550,31.169546,-91.867805
Maine,20,1186380,6.333,46485,B,ME,689,42080,9.116,5270,1.995,26230,91,6.425,2750,2.527,4330,44.693947,-69.381927
Maryland,21,5062440,4.333,61123,B,MD,672,70010,10.466,6260,1.634,50900,115,6.801,3780,4.248,5110,39.063946,-76.802101
Massachusetts,22,5675700,8,67596,F,MA,699,63070,7.039,5980,1.318,45760,93,6.639,3490,2.057,3810,42.230171,-71.530106
Michigan,23,8452040,7.667,46136,B,MI,677,37640,12.29,5490,0.814,23130,82,6.36,2610,4.688,3690,43.326618,-84.536095
Minnesota,24,4523120,9,54442,B,MN,709,53260,9.067,6100,0.665,36950,98,5.572,3200,1.767,3950,45.694454,-93.900192
Mississippi,25,2426060,5,36567,C,MS,647,30920,16.685,5510,1.636,15230,85,7.358,2020,6.428,4840,32.741646,-89.678696
Missouri,26,5074060,7.667,45014,A,MO,675,38420,13.402,5140,0.915,23940,85,7.296,2620,4.049,4180,38.456085,-92.288368
Montana,27,867560,7.667,45274,D,MT,689,44200,10.3,4360,0.728,29880,98,5.982,2840,3.089,4080,46.921925,-110.454353
Nebraska,28,1504000,9.333,50875,C,NE,695,39400,8.234,5000,0.588,25250,77,5.065,2790,2.481,4030,41.12537,-98.268082
Nevada,29,2423040,4,46557,C,NV,655,50320,14.391,3790,1.643,35730,108,10.759,3210,4.837,5020,38.313515,-117.055374
New Hampshire,30,1181920,8.333,59360,B,NH,701,54570,8.79,5900,1.081,35930,92,6.073,3420,2.332,5220,43.452492,-71.563896
New Jersey,31,7584360,5.333,65387,B,NJ,686,57830,8.963,5720,2.715,40320,88,7.304,3910,3.087,3910,40.298904,-74.521011
New Mexico,32,1668820,4.667,39709,C,NM,659,38680,13.767,3810,1.722,24580,97,9.025,2650,6.148,5190,34.840515,-106.248482
New York,33,15685260,6,65392,B,NY,688,49030,8.756,5810,2.801,32380,75,8.325,3710,3.381,3560,42.165726,-74.948051
North Carolina,34,8289440,5.333,44233,B,NC,666,44780,12.45,4950,1.233,28590,101,7.428,2880,5.173,4910,35.630066,-79.806419
North Dakota,35,599320,9.667,52284,B,ND,697,42230,7.267,5240,0.672,26100,81,5.101,2970,2.144,5020,47.528912,-99.784012
Ohio,36,9981320,7.333,46710,B,OH,678,37160,13.186,5980,1.27,21500,80,7.16,2680,4.064,4190,40.388783,-82.764915
Oklahoma,37,3179540,6,44356,C,OK,656,33890,15.076,4300,1.42,19830,76,7.862,2550,4.89,5050,35.565342,-96.928917
Oregon,38,3473820,7,48093,C,OR,688,53020,11.45,5430,0.757,37930,110,5.995,2940,2.272,3770,44.572021,-122.070938
Pennsylvania,39,10973260,7.333,53363,F,PA,687,41450,10.754,5910,1.675,24980,78,7.221,3030,3.732,4000,40.590752,-77.209755
Rhode Island,40,892760,6.667,52943,F,RI,687,48850,10.056,4910,1.669,33080,92,7.592,3240,2.511,3610,41.680893,-71.51178
South Carolina,41,4188580,5,41659,B,SC,657,42220,13.583,5500,1.363,26000,101,7.799,2680,5.622,4630,33.856892,-80.945007
South Dakota,42,684560,9.333,48616,F,SD,700,41130,10.926,5020,0.579,25500,85,6.244,2780,2.778,4350,44.299782,-99.438828
Tennessee,43,5583100,6.667,45566,A,TN,662,39880,13.573,4760,0.91,24910,88,7.086,2480,4.156,4440,35.747845,-86.692345
Texas,44,21449840,6,47332,B,TX,656,41650,11.106,4700,0.955,25030,88,8.408,3140,4.74,6520,31.054487,-97.563461
Utah,45,2259040,5.667,43441,A,UT,683,56920,9.047,4230,0.566,41830,131,5.554,2930,2.225,5020,40.150032,-111.862434
Vermont,46,536380,8.333,52152,D,VT,702,45120,8.088,5620,1.306,28440,87,5.826,2970,2.696,4860,44.045876,-72.710686
Virginia,47,7061280,6,55137,A,VA,680,65050,10.129,5550,0.854,47370,118,6.097,3760,3.191,4650,37.769337,-78.169968
Washington,48,6157000,7.333,57743,C,WA,693,62560,9.471,4110,0.709,47110,108,5.426,3380,2.258,4200,47.400902,-121.490494
West Virginia,49,1580620,6,38454,B,WV,658,28790,16.146,4070,1.429,15240,75,8.114,2240,5.061,4500,38.491226,-80.954453
Wisconsin,50,4783500,9,48970,F,WI,696,39120,9.362,4750,0.79,25730,80,4.737,2630,2.405,3580,44.268543,-89.616508
Wyoming,51,464120,8,57384,D,WY,678,46180,9.009,3270,0.855,31910,80,6.979,2960,3.148,5240,42.755966,-107.30249
