state_id,Vantage_Score,Total_Debt,Debt_Income,Auto_Del,CC_Del,Mor_Del,Stu_Del,Auto_Debt,CC_Debt,Mor_Debt,Stu_Debt,income,state_population
2,668,57850,101,2.414,5.826,0.756,10.326,5010,4270,41580,3740,57180,549520
1,654,36060,88,5.75,7.681,1.144,13.39,4780,2370,21000,4610,40802,4124980
4,657,32220,78,4.392,8.657,1.199,14.237,5240,2300,18200,4170,41063,2385160
3,669,51300,122,4.57,9.538,0.882,12.509,4890,3140,35680,4890,42085,5378240
5,680,70100,117,3.626,8.37,0.722,10.046,4380,3420,54640,4330,60004,31228960
6,688,68450,125,2.98,6.304,0.462,11.098,4630,3530,50900,5840,54561,4443240
7,690,58860,82,2.615,6.836,1.996,9.459,3600,3730,41790,5660,72110,3049080
9,670,84380,106,7.231,5.859,1.175,8.796,3010,3920,62080,12380,79792,551420
8,672,53390,107,4.348,8.307,2.208,9.627,4750,3260,36840,5590,49925,799020
10,668,43400,91,4.424,9.407,1.325,9.048,4960,3290,27120,4690,47701,17998500
11,654,46730,106,5.518,7.645,1.053,12.847,5260,3130,28620,6750,44214,8419700
12,693,71170,135,3.342,6.2,1.3,9.935,3650,3860,54680,3530,52910,1103340
16,695,38920,83,2.317,6.081,0.845,11.385,4370,2450,24580,5150,47093,2575740
13,681,46270,111,2.222,6.553,0.658,11.984,4450,2740,31070,4720,41778,1346860
14,683,45670,84,3.82,6.298,1.679,9.588,4090,3130,30260,5590,54271,10526580
15,667,37210,82,4.48,6.464,1.205,13.747,4110,2500,22810,5060,45196,5454880
17,680,37320,77,3.049,5.891,0.872,13.089,4000,2780,23330,5300,48600,2321580
18,663,33660,83,4.373,7.089,1.276,15.279,3780,2280,20010,4640,40600,3675160
19,650,36720,84,5.857,7.784,1.639,13.128,5550,2440,20820,5020,43786,3826080
22,699,63070,93,2.057,6.639,1.318,7.039,3810,3490,45760,5980,67596,5675700
21,672,70010,115,4.248,6.801,1.634,10.466,5110,3780,50900,6260,61123,5062440
20,689,42080,91,2.527,6.425,1.995,9.116,4330,2750,26230,5270,46485,1186380
23,677,37640,82,4.688,6.36,0.814,12.29,3690,2610,23130,5490,46136,8452040
24,709,53260,98,1.767,5.572,0.665,9.067,3950,3200,36950,6100,54442,4523120
26,675,38420,85,4.049,7.296,0.915,13.402,4180,2620,23940,5140,45014,5074060
25,647,30920,85,6.428,7.358,1.636,16.685,4840,2020,15230,5510,36567,2426060
27,689,44200,98,3.089,5.982,0.728,10.3,4080,2840,29880,4360,45274,867560
34,666,44780,101,5.173,7.428,1.233,12.45,4910,2880,28590,4950,44233,8289440
35,697,42230,81,2.144,5.101,0.672,7.267,5020,2970,26100,5240,52284,599320
28,695,39400,77,2.481,5.065,0.588,8.234,4030,2790,25250,5000,50875,1504000
30,701,54570,92,2.332,6.073,1.081,8.79,5220,3420,35930,5900,59360,1181920
31,686,57830,88,3.087,7.304,2.715,8.963,3910,3910,40320,5720,65387,7584360
32,659,38680,97,6.148,9.025,1.722,13.767,5190,2650,24580,3810,39709,1668820
29,655,50320,108,4.837,10.759,1.643,14.391,5020,3210,35730,3790,46557,2423040
33,688,49030,75,3.381,8.325,2.801,8.756,3560,3710,32380,5810,65392,15685260
36,678,37160,80,4.064,7.16,1.27,13.186,4190,2680,21500,5980,46710,9981320
37,656,33890,76,4.89,7.862,1.42,15.076,5050,2550,19830,4300,44356,3179540
38,688,53020,110,2.272,5.995,0.757,11.45,3770,2940,37930,5430,48093,3473820
39,687,41450,78,3.732,7.221,1.675,10.754,4000,3030,24980,5910,53363,10973260
40,687,48850,92,2.511,7.592,1.669,10.056,3610,3240,33080,4910,52943,892760
41,657,42220,101,5.622,7.799,1.363,13.583,4630,2680,26000,5500,41659,4188580
42,700,41130,85,2.778,6.244,0.579,10.926,4350,2780,25500,5020,48616,684560
43,662,39880,88,4.156,7.086,0.91,13.573,4440,2480,24910,4760,45566,5583100
44,656,41650,88,4.74,8.408,0.955,11.106,6520,3140,25030,4700,47332,21449840
45,683,56920,131,2.225,5.554,0.566,9.047,5020,2930,41830,4230,43441,2259040
47,680,65050,118,3.191,6.097,0.854,10.129,4650,3760,47370,5550,55137,7061280
46,702,45120,87,2.696,5.826,1.306,8.088,4860,2970,28440,5620,52152,536380
48,693,62560,108,2.258,5.426,0.709,9.471,4200,3380,47110,4110,57743,6157000
50,696,39120,80,2.405,4.737,0.79,9.362,3580,2630,25730,4750,48970,4783500
49,658,28790,75,5.061,8.114,1.429,16.146,4500,2240,15240,4070,38454,1580620
51,678,46180,80,3.148,6.979,0.855,9.009,5240,2960,31910,3270,57384,464120
